"filename", "language", "Properties", "HTML", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\eslint.config.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\package-lock.json", "JSON", 0, 0, 5544, 0, 0, 0, 0, 0, 0, 1, 5545
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\package.json", "JSON", 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 5, 8, 70
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\ReduxStates\slices\customerSlice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 3, 7, 153
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\ReduxStates\slices\globalErrorSlice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 1, 3, 15
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\ReduxStates\slices\invoiceSlice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 5, 11, 76
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\ReduxStates\slices\templateStatsSlice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 141, 20, 226
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\ReduxStates\store.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 5, 18
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\components\modal\TemplateModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 3, 3, 31
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 8, 15, 90
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\auth\Auth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 6, 104
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\auth\Forgot_password.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 2, 11, 121
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 12, 108
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\auth\Registration.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 29, 15, 148
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\auth\verifyemail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 1, 7, 43
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\dashboard\BusinessNumbers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 5, 6, 36
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\dashboard\Calendar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 2, 5, 35
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\dashboard\CreateTemplates.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 5, 8, 46
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\dashboard\DashBoard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 4, 8, 57
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\dashboard\GraphVisuals.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 1, 8, 49
"c:\Users\maaji\OneDrive\Desktop\WhatsAppMVP\Whatsapp-Business-MAAS-Client\src\features\dashboard\MessageAnalyticsCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 5, 8, 52
